Entity,IncomeGroup,expectancy
Palestine,No classification,73.895
Taiwan,No classification,80.283
Venezuela,No classification,72.128
Afghanistan,Low income,64.486
Burkina Faso,Low income,61.174
Burundi,Low income,61.247
Central African Republic,Low income,52.805
Chad,Low income,53.977
Democratic Republic of Congo,Low income,60.368
Ethiopia,Low income,66.24
Gambia,Low income,61.735
Guinea,Low income,58.322
Guinea-Bissau,Low income,74.302
Liberia,Low income,63.73
Madagascar,Low income,66.681
Malawi,Low income,63.798
Mali,Low income,58.893
Mozambique,Low income,60.163
Niger,Low income,62.024
North Korea,Low income,72.095
Rwanda,Low income,68.7
Sierra Leone,Low income,54.309
Sudan,Low income,65.095
Syria,Low income,71.779
Togo,Low income,60.76
Uganda,Low income,62.973
Yemen,Low income,66.096
Algeria,Lower middle income,76.693
Angola,Lower middle income,60.782
Bangladesh,Lower middle income,72.32
Benin,Lower middle income,61.47
Bolivia,Lower middle income,71.239
Cambodia,Lower middle income,69.57
Cameroon,Lower middle income,58.921
Cape Verde,Lower middle income,72.782
Comoros,Lower middle income,64.118
Congo,Lower middle income,64.29
Cote d'Ivoire,Lower middle income,57.422
Djibouti,Lower middle income,66.582
Egypt,Lower middle income,71.825
El Salvador,Lower middle income,73.096
Eswatini,Lower middle income,59.401
Ghana,Lower middle income,63.78
Haiti,Lower middle income,63.66
Honduras,Lower middle income,75.088
India,Lower middle income,69.416
Indonesia,Lower middle income,71.509
Iran,Lower middle income,76.479
Kenya,Lower middle income,66.342
Kyrgyzstan,Lower middle income,71.321
Laos,Lower middle income,67.61
Lesotho,Lower middle income,53.705
Mauritania,Lower middle income,64.704
Mongolia,Lower middle income,69.689
Morocco,Lower middle income,76.453
Myanmar,Lower middle income,66.867
Nepal,Lower middle income,70.478
Nicaragua,Lower middle income,74.275
Nigeria,Lower middle income,54.332
Pakistan,Lower middle income,67.114
Philippines,Lower middle income,71.095
Sao Tome and Principe,Lower middle income,70.17
Senegal,Lower middle income,67.665
Sri Lanka,Lower middle income,76.812
Tajikistan,Lower middle income,70.879
Tanzania,Lower middle income,65.015
Tunisia,Lower middle income,76.505
Ukraine,Lower middle income,71.953
Uzbekistan,Lower middle income,71.573
Vietnam,Lower middle income,75.317
Zambia,Lower middle income,63.51
Zimbabwe,Lower middle income,61.195
Albania,Upper middle income,78.458
Argentina,Upper middle income,76.52
Armenia,Upper middle income,74.945
Azerbaijan,Upper middle income,72.864
Belarus,Upper middle income,74.59
Bosnia and Herzegovina,Upper middle income,77.262
Botswana,Upper middle income,69.275
Brazil,Upper middle income,75.672
Bulgaria,Upper middle income,74.928
China,Upper middle income,76.704
Colombia,Upper middle income,77.109
Costa Rica,Upper middle income,80.095
Cuba,Upper middle income,78.726
Dominican Republic,Upper middle income,73.892
Ecuador,Upper middle income,76.8
Equatorial Guinea,Upper middle income,58.402
Gabon,Upper middle income,66.187
Georgia,Upper middle income,73.6
Guatemala,Upper middle income,74.063
Iraq,Upper middle income,70.454
Jamaica,Upper middle income,74.368
Jordan,Upper middle income,74.405
Kazakhstan,Upper middle income,73.236
Lebanon,Upper middle income,78.875
Libya,Upper middle income,72.724
Malaysia,Upper middle income,75.997
Mauritius,Upper middle income,74.863
Mexico,Upper middle income,74.992
Moldova,Upper middle income,71.808
Montenegro,Upper middle income,76.77
Namibia,Upper middle income,63.373
North Macedonia,Upper middle income,75.688
Panama,Upper middle income,78.329
Paraguay,Upper middle income,74.131
Peru,Upper middle income,76.516
Romania,Upper middle income,75.924
Russia,Upper middle income,72.386
Saint Lucia,Upper middle income,76.057
Serbia,Upper middle income,75.849
Thailand,Upper middle income,76.931
Turkey,Upper middle income,77.437
Turkmenistan,Upper middle income,68.073
Australia,High income,83.281
Austria,High income,81.434
Bahrain,High income,77.163
Barbados,High income,79.081
Belgium,High income,81.468
Canada,High income,82.315
Chile,High income,80.042
Croatia,High income,78.342
Cyprus,High income,80.828
Czechia,High income,79.222
Denmark,High income,80.784
Estonia,High income,78.567
Finland,High income,81.736
France,High income,82.541
Germany,High income,81.18
Greece,High income,82.072
Hong Kong,High income,84.687
Hungary,High income,76.701
Iceland,High income,82.855
Ireland,High income,82.103
Israel,High income,82.819
Italy,High income,83.352
Japan,High income,84.47
Kuwait,High income,75.398
Latvia,High income,75.172
Lithuania,High income,75.737
Luxembourg,High income,82.102
Malta,High income,82.376
Netherlands,High income,82.143
New Zealand,High income,82.145
Norway,High income,82.271
Oman,High income,77.633
Poland,High income,78.544
Portugal,High income,81.857
Puerto Rico,High income,79.952
Qatar,High income,80.1
Saudi Arabia,High income,74.998
Seychelles,High income,73.333
Singapore,High income,83.458
Slovakia,High income,77.388
Slovenia,High income,81.172
South Korea,High income,82.846
Spain,High income,83.433
Sweden,High income,82.654
Switzerland,High income,83.63
Trinidad and Tobago,High income,73.38
United Arab Emirates,High income,77.814
United Kingdom,High income,81.236
United States,High income,80.583
Uruguay,High income,77.77
